Muestra	Enzima	Actividad	Clorpirifos
M01	E01	1.53867868870939	8.77594753992398
M01	E02	0.0292921802029014	8.77594753992398
M01	E03	0.187169869740804	8.77594753992398
M01	E04	0.218605806895842	8.77594753992398
M01	E05	1.5239148558146	8.77594753992398
M01	E06	0.0424227554661532	8.77594753992398
M01	E07	0.190887627191842	8.77594753992398
M02	E01	1.49325286794646	8.33460920630437
M02	E02	0.0742050713549058	8.33460920630437
M02	E03	0.272916693600544	8.33460920630437
M02	E04	0.153624322420607	8.33460920630437
M02	E05	1.5253314093935	8.33460920630437
M02	E06	0.216327112323294	8.33460920630437
M02	E07	0.363434520444478	8.33460920630437
M03	E01	1.51132163181736	3.2495908442825
M03	E02	0.111743905784449	3.2495908442825
M03	E03	0.357474831539794	3.2495908442825
M03	E04	1.47086881216906	3.2495908442825
M03	E05	1.53753873950591	3.2495908442825
M03	E06	0.331784461921358	3.2495908442825
M03	E07	0.425409882315401	3.2495908442825
M04	E01	1.45455922244299	9.41097705436472
M04	E02	0.186116981320083	9.41097705436472
M04	E03	0.192385131387275	9.41097705436472
M04	E04	0.0199572454244531	9.41097705436472
M04	E05	1.47133567413474	9.41097705436472
M04	E06	0.114775591064245	9.41097705436472
M04	E07	0.060023223734508	9.41097705436472
M05	E01	1.50030378031234	9.46052183012228
M05	E02	0.118939143651991	9.46052183012228
M05	E03	0.0975951880166881	9.46052183012228
M05	E04	0.0328631843544787	9.46052183012228
M05	E05	1.51020974026683	9.46052183012228
M05	E06	0.051661788944396	9.46052183012228
M05	E07	0.155099460234245	9.46052183012228
M06	E01	1.46395400208754	7.73142808193689
M06	E02	0.682364742554037	7.73142808193689
M06	E03	0.274436416090433	7.73142808193689
M06	E04	0.280603652495547	7.73142808193689
M06	E05	1.5121319926477	7.73142808193689
M06	E06	0.476309629129179	7.73142808193689
M06	E07	0.370139098091328	7.73142808193689
M07	E01	1.50370373478607	4.01031644178685
M07	E02	0.65591567894	4.01031644178685
M07	E03	0.0439974192219476	4.01031644178685
M07	E04	0.419694289861524	4.01031644178685
M07	E05	1.49691592525641	4.01031644178685
M07	E06	0.161238956730813	4.01031644178685
M07	E07	0.15816202123339	4.01031644178685
M08	E01	1.53267105013834	10.1534705411126
M08	E02	0.0501098973018593	10.1534705411126
M08	E03	0.422522868636652	10.1534705411126
M08	E04	0.0320270770850281	10.1534705411126
M08	E05	1.47014882530105	10.1534705411126
M08	E06	0.310461715958492	10.1534705411126
M08	E07	0.111146834854351	10.1534705411126
M09	E01	1.54914836128985	6.16539263753926
M09	E02	0.216309296588103	6.16539263753926
M09	E03	0.21215422761937	6.16539263753926
M09	E04	0.232674855383884	6.16539263753926
M09	E05	1.49926700962505	6.16539263753926
M09	E06	0.633215662684846	6.16539263753926
M09	E07	0.0705753581908842	6.16539263753926
M10	E01	1.52144030926935	9.09615115474907
M10	E02	0.00618280642195309	9.09615115474907
M10	E03	0.341438707571133	9.09615115474907
M10	E04	0.0362125723474913	9.09615115474907
M10	E05	1.51347042079889	9.09615115474907
M10	E06	0.00066756596788764	9.09615115474907
M10	E07	0.280764048905079	9.09615115474907
